strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
rc,5000,1,1,0,5000,5000,0,1,19259692.547789533,19015482.297646962,259895.7624317954,262943.7713120213,659816.984284335,160000,5000
legacy,5000,1,1,0,5000,5000,0,1,750218.7577921904,756282.4693628931,6671825.940419687,6611289.214285715,24406.19645852277,373069195,5000
arc,5000,1,1,0,5000,5000,0,1,14237836.247472549,13945851.719769051,351747.7937099935,358530.6607142857,592281.6275817744,160000,5000
clone,5000,1,1,0,5000,5000,0,1,71090122.41318661,68122853.79504946,71010.93246808801,73397.2695652174,7682504.564479835,0,5000
slice,5000,1,1,0,5000,5000,0,1,91107607.77723838,94557024.64951158,56636.80819326264,52878.22046775898,10954182.190210411,0,5000
rc,5000,1,1,0,5000,5000,0,10,13089419.767511582,13208272.31176467,382623.55561946303,378550.6702380952,494198.00717139605,160000,5000
legacy,5000,1,1,0,5000,5000,0,10,65543.34346414237,64777.61003501082,76330441.6111111,77187619.16666666,1627.7097231422006,3730691950,5000
arc,5000,1,1,0,5000,5000,0,10,13201087.076732337,13318275.62433764,379949.1535660136,375424.06632653065,658206.2836045212,160000,5000
clone,5000,1,1,0,5000,5000,0,10,36140644.9256975,36820345.09551105,140465.49069974176,135794.56671626982,3320361.785568998,0,5000
slice,5000,1,1,0,5000,5000,0,10,36257383.78158902,36894967.415661514,140374.8587014052,135519.83832779792,3500830.5732377507,0,5000
rc,5000,1,1,0,5000,5000,0,11,12764116.852639481,12878154.575020637,392693.9051453704,388254.41033138405,575309.0480635994,160000,5000
legacy,5000,1,1,0,5000,5000,0,11,59330.124189474795,58868.35121359615,84315320.43333334,84935282.5,1351.391688430235,4103761145,5000
arc,5000,1,1,0,5000,5000,0,11,12904004.831137236,12992131.132519126,388082.35684297973,384848.42717236467,471802.48690037936,160000,5000
clone,5000,1,1,0,5000,5000,0,11,33893951.53055889,34565914.53588221,150059.62517118882,144651.17454177322,3247982.6362293423,0,5000
slice,5000,1,1,0,5000,5000,0,11,33682357.0881724,34442899.55765493,151239.24328151694,145167.89105834463,3343191.0731261964,0,5000
rc,5000,1,1,0,5000,5000,0,12,12523848.070188113,12566817.093404684,399960.3169819394,397873.227533284,493139.0428997052,160000,5000
legacy,5000,1,1,0,5000,5000,0,12,54816.55385868802,54790.12582816517,91224221.98333333,91257329.5,611.0012918253964,4476830340,5000
arc,5000,1,1,0,5000,5000,0,12,12615042.569417171,12654559.19343428,397025.81102107256,395114.5136277303,483108.81618886074,160000,5000
clone,5000,1,1,0,5000,5000,0,12,32069876.514731146,32650205.97543726,158179.60448510302,153138.49148995534,2898102.725277852,0,5000
slice,5000,1,1,0,5000,5000,0,12,31972539.270108666,32533715.546919473,159025.95692194623,153686.71951923077,3031064.1096666423,0,5000
rc,5000,1,1,0,5000,5000,0,13,12160751.559294082,12216805.782703405,411735.2353222571,409272.2839414859,423797.88746247196,160000,5000
legacy,5000,1,1,0,5000,5000,0,13,50049.0961377213,49792.17332990188,99932869.41666667,100417397.25,905.8276771060521,4849899535,5000
arc,5000,1,1,0,5000,5000,0,13,12226690.544341907,12311018.891071066,409608.32645034185,406140.3685007122,458701.7899298378,160000,5000
clone,5000,1,1,0,5000,5000,0,13,30268932.318919156,30890583.132676672,167931.7260020758,161861.62801788375,2853660.1460118983,0,5000
slice,5000,1,1,0,5000,5000,0,13,30219263.921066463,30771132.07974107,168056.98937073466,162489.99249419005,2800833.8931571245,0,5000
rc,5000,1,1,0,5000,5000,0,14,11835257.774292806,11909428.93750735,423257.46755692427,419835.4397714286,476520.4495506178,160000,5000
legacy,5000,1,1,0,5000,5000,0,14,46666.49523970641,46214.436694529475,107189236.63333334,108191396.75,992.1888134000017,5222968730,5000
arc,5000,1,1,0,5000,5000,0,14,11957679.862632897,12005272.173981225,418848.26222330617,416483.7259230769,456200.7721171321,160000,5000
clone,5000,1,1,0,5000,5000,0,14,28740814.53511173,29111382.42959304,175019.7569230094,171754.14978448278,1872515.4509248962,0,5000
slice,5000,1,1,0,5000,5000,0,14,28665904.20480797,29059161.728892423,175523.4834822533,172062.85057471265,1905846.9726412618,0,5000
rc,5000,1,1,0,5000,5000,0,15,11388091.29216819,11418719.60291972,439924.573744034,437877.5174042443,466836.5556339231,160000,5000
legacy,5000,1,1,0,5000,5000,0,15,45351.934573285536,45717.66035302009,110292163.76666667,109366928.0,900.5613834030478,5596037925,5000
arc,5000,1,1,0,5000,5000,0,15,11477881.945605597,11550751.506945748,436624.26367584127,432872.3368347339,499114.26310902886,160000,5000
